INSTNM,STABBR,ADM_RATE,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT
Alabama A & M University,AL,0.8989,4051,0.0279,0.9501,0.0089,0.0022,0.0012,0.001,0,0.0002,0.0084,18888,7182,12774
University of Alabama at Birmingham,AL,0.8673,11200,0.5987,0.259,0.0258,0.0518,0.0026,0.0007,0.0344,0.014,0.013,19990,7206,16398
Amridge University,AL,NULL,322,0.2919,0.4224,0.0093,0.0031,0.0031,0.0031,0,0,0.2671,12300,6870,6870
University of Alabama in Huntsville,AL,0.8062,5525,0.7012,0.131,0.0338,0.0364,0.0145,0.0002,0.0161,0.0329,0.0338,20306,9192,21506
Alabama State University,AL,0.5125,5354,0.0161,0.9285,0.0114,0.0015,0.0009,0.0007,0.0064,0.0207,0.0138,17400,8720,15656
The University of Alabama,AL,0.5655,28692,0.7865,0.114,0.0313,0.0112,0.0044,0.0011,0.021,0.0278,0.0028,26717,9450,23950
Central Alabama Community College,AL,NULL,1779,0.6785,0.2945,0.0118,0.0022,0.0022,0.0011,0.0006,0.0011,0.0079,12103,4200,7500
Athens State University,AL,NULL,2999,0.7513,0.1064,0.0213,0.0047,0.019,0.0007,0.0133,0.007,0.0764,NULL,NULL,NULL
Auburn University at Montgomery,AL,0.8371,4322,0.5532,0.3031,0.0079,0.0245,0.0037,0,0,0.0435,0.0641,16556,8750,24950
Auburn University,AL,0.8274,19761,0.8543,0.0714,0.0253,0.0213,0.0077,0,0,0.0074,0.0127,23788,9852,26364
Birmingham Southern College,AL,0.6422,1181,0.8103,0.094,0.0305,0.039,0.0102,0,0.0076,0,0.0085,44512,30690,30690
Chattahoochee Valley Community College,AL,NULL,1769,0.4675,0.4409,0.0379,0.0136,0.0034,0.0028,0.0107,0,0.0232,6800,4260,7590
Concordia College Alabama,AL,NULL,523,0.0115,0.9388,0.0134,0.0038,0,0,0,0.0325,0,17655,8090,8090
South University-Montgomery,AL,0.4366,599,0.2988,0.6628,0.0117,0.0033,0.0083,0.0033,0,0,0.0117,28525,16360,16360
Enterprise State Community College,AL,NULL,1984,0.6411,0.2661,0.0444,0.0166,0.0055,0.0015,0.0176,0.0015,0.0055,10193,3780,6888
James H Faulkner State Community College,AL,NULL,4182,0.7104,0.2176,0.0263,0.0072,0.0187,0.0012,0.0163,0.0007,0.0017,11921,4200,7530
Faulkner University,AL,NULL,2358,0.3919,0.5254,0.0178,0.0047,0.0064,0.0034,0.0119,0.0191,0.0195,28485,18230,18230
Gadsden State Community College,AL,NULL,5480,0.6792,0.21,0.0261,0.0055,0.0075,0.0015,0.019,0.0135,0.0378,10247,3900,7230
New Beginning College of Cosmetology,AL,NULL,89,0.9326,0.0337,0.0337,0,0,0,0,0,0,NULL,NULL,NULL
George C Wallace State Community College-Dothan,AL,NULL,4293,0.6306,0.3196,0.024,0.0058,0.0051,0.0019,0.0128,0,0.0002,8140,3900,7230
George C Wallace State Community College-Hanceville,AL,NULL,4904,0.875,0.0593,0.0273,0.0043,0.0075,0.0002,0,0.0069,0.0194,10822,4200,7530
George C Wallace State Community College-Selma,AL,NULL,1604,0.2163,0.7594,0.0062,0.0069,0.0037,0.0019,0.0044,0.0006,0.0006,14835,3900,7230
